estado	juridica	cnae1	bai.at	bai.fp	ac.at	t.at	v.fp	ac.pc	t.pc	fm.v	pe.pt	cf.pt	fm.at	v.at	v.ac	lnat
1	1	5	.6132033	2.410443994	.0777297	.0004059803	.02369379	87.72998	.4582116	12.74871	-3.56683369	11.19708	.07684369	.006027565	.0775452	7.56586
1	1	2	.3477127	.504769372	0	.168301	.2201764	0	1.847075	-.6007638	-.45498063	.9954601	-.09111755	.1516695	2.384571	9.292744
1	1	5	.3635969	.535022146	.02192773	.08491106	.1441758	.9800071	3.794895	-.004565619	-4.1099137	3.691425	-.0004473428	.097980771	4.46835	14.04724
1	2	9	.510532	.323614546	.0964084	.06640493	.1210328	.428989	.2954824	-.6720707	-.82073049	.8346204	-.1283255	.19094054	1.980538	6.869037
1	2	5	.2624093	.350887246	.0149054	.2948909	.1050003	.1639597	3.243806	-.9679021	-1.56126708	1.558958	-.07600351	.078523962	5.268156	6.199235
1	3	5	1.195198	.581027095	.01661136	1.852507	.02716007	.553337	61.7084	-.2400055	-6.26564461	4.887028	-.01340897	.055869446	3.363327	8.403138
1	2	4	.08928571	.174418605	.4702381	.3333333	2.360465	1.025974	.7272727	.009852217	.48809524	.1071429	.01190476	1.208333333	2.56962	5.123964
1	1	3	.511317	.596476429	.2155161	.1552496	.08031088	2.26316	1.630294	1.747236	-.62550157	1.177121	.1202881	.068844822	.3194417	9.74553
1	1	2	.2326104	.487410228	.08701218	.007934525	.08143565	1.662868	.1516347	.8924836	-2.46808337	2.063058	.0346856	.038864134	.4466516	8.565377
1	1	5	.5028037	.903560787	.2098421	.1820203	.02929404	12.85602	11.15151	11.87148	-1.82678313	2.989093	.1935197	.016301228	.07768329	6.741401
1	2	5	.2174295	.612224753	.03944374	.06394381	.05842626	1.566525	2.539556	.6874546	-.48956286	1.233357	.0142646	.020749887	.5260629	7.526704
1	2	6	.03143382	.055795259	.0500783	.0005934585	.04152391	4.506541	.05340526	1.665663	-2.03640343	1.97841	.03896594	.023393653	.4671415	6.503202
1	2	5	.08952964	.249503338	.7477775	.0005077092	3.450758	1.25073	.0008491927	.1210627	.64116855	.1119339	.1499047	1.238240316	1.655894	7.862476
1	1	1	.3326678	.530962195	.1878221	.008859374	.05167977	10.02081	.4726709	5.221818	-1.84787379	1.960548	.1690789	.03237932	.1723935	9.952563
1	1	5	.169223	.114568721	.1958891	.3854033	.1631339	2.503067	4.924675	.4881783	-2.67623206	2.539739	.1176295	.240955946	1.230063	7.340518
1	1	5	.3042743	.689493143	.1117305	.08202777	.03905394	5.238053	3.845555	5.245274	-1.82808897	2.34	.09039999	.017234561	.1542511	10.373861
1	2	3	.2300933	.26367589	.194602	.007589317	.06249551	4.865002	.189731	2.83486	-9.91751221	7.81778	.1546016	.054535894	.2802432	6.896583
1	2	5	.09423595	.346336092	.2439611	.02177686	.07619954	5.212143	.4652551	9.509028	-1.89091316	1.530294	.1971548	.020733431	.08498664	7.711107
1	2	5	.2941604	.549721184	.1195617	.1483903	.06861272	2.485846	3.085233	1.946459	-1.2725642	1.731473785	.07146471	.036715233	.307081965	6.840554
1	1	5	1.02231	.792376171	.006179548	.6199152	.03572431	.1679213	16.8454	-.6643551	-2.0786088	2.729394417	-.03062072	.046090903	7.45862069	3.848636
1	2	5	.2883646	.394513401	.2550723	.02397394	.00914873	11.94317	1.122524	34.94989	-27.9489689	13.684027115	.2337151	.006687149	.02621668	6.721005
1	2	5	.1672516	.441513867	.008519626	.1603643	.1245874	.2144926	4.037379	-.6610863	-2.3468214	2.462633042	-.03120028	.04719547	5.539617834	6.132749
1	2	2	.3995731	.591814469	.3320049	.03106427	-.2501772	-2.995853	-.2803091	-2.621652	9.7008519	-5.541217039	.4428264	-.168911177	-.508761117	5.760994
1	2	4	-.2332268	1.449131514	.7444089	.01557508	-2.136476	.8593822	.01798064	-.3542393	1.1609425	-.206269968	-.1218051	.34384984	.461909871	8.518792
1	2	1	.8001012	1.087929302	.2942261	.05508977	.02267795	8.304294	1.554864	15.51704	-4.7937766	6.379641861	.2587955	.016678156	.056684819	5.77467
1	1	4	.08866532	.296170195	.01091314	.02403022	.0173152	1.780013	3.919504	.9225468	-7.7412697	3.399581602	.004782206	.0051837	.474996266	9.597302
1	2	5	.1109834	.25005337	.1218284	.004909338	.03717803	32.33765	1.303116	7.154758	-42.5597502	16.232512144	.118061	.016501048	.135445022	7.947497
1	2	1	.1846487	.522320393	.1546277	.09394334	.09838393	2.091597	1.27074	2.320269	-1.9888108	1.669398381	.08069966	.034780305	.224929271	7.33702
1	2	2	.2330482	.487125118	.06543933	.01048928	.1832194	.8150515	.1306448	-.1694057	-1.9073762	1.983754771	-.01484925	.087654965	1.339484476	6.519466
1	2	5	.1338583	.507462687	.8582677	.1771654	19.47761	1.159574	.2393617	.02298851	.7362205	.161417323	.1181102	5.137795276	5.986238532	5.537334
1	1	7	9.794305	.994831182	10.33971	.514899	.08313305	18.22047	.9073465	11.93977	-6.4638398	8.606627558	9.772236	.818460973	.079157027	5.358137
1	1	1	21.81885	1.986182755	5.539923	.0124016	.2168332	4.692758	.01050515	1.830155	-.4151901	2.831543195	4.359396	2.381981757	.429966619	3.466111
1	2	5	.04694218	.275696053	.7856822	.2802224	6.395422	.9469107	.3377264	-.04045225	.8297321	.049014755	-.04404987	1.088934946	1.385973719	5.555344
1	2	5	.3232017	.694718944	.160257	.0556422	.03451256	4.919998	1.708253	7.952365	-2.5336553	2.797144325	.1276844	.016056158	.10019005	7.55361
1	1	5	.2536624	.65977577	.1048149	.1217798	.06212382	5.829769	6.773354	3.635633	-6.0409444	6.152949521	.08683561	.02388459	.22787409	8.649336
1	2	5	.7050883	.587984775	.7544787	.04130515	.008932492	12.05569	.6600083	64.59379	-11.130081	9.810809045	.691896	.010711494	.014197211	5.735197
1	2	2	.460676	.721961914	.1143507	.03674524	.1259945	1.417306	.4554342	.4187905	-1.0221482	2.663253382	.03366896	.080395725	.703062539	6.958681
1	1	7	.01747914	.112188582	.800213	.04631599	3.015642	1.464094	.08474113	.5398727	.8441986	.004836952	.2536544	.469841254	.587145214	8.996032
1	1	1	.1697047	.255205872	.1426505	.008879409	.1181493	2.616329	.1628557	1.1217	-1.9175774	1.770884237	.08812737	.078565914	.550757944	9.964624
1	1	5	.4482751	.216789525	.3926748	.2076232	.04516944	28.79704	15.22617	4.058193	-2.4050386	3.738914011	.3790388	.093400885	.23785812	7.503023
1	1	2	.005207165	.007448149	.3110264	.09817846	.9239849	1.577463	.4979414	.1762563	.300878	.073731646	.1138577	.645978193	2.076923984	15.000862
1	1	5	.1773888	.282341522	.1701995	.0642529	.07366209	4.855106	1.832876	2.920117	-.7682731	1.519970483	.1351437	.046280236	.271917584	9.524584
1	1	3	.2022251	.292693064	.1377481	.01984398	.02773117	1.038549	.1496132	.2668557	-2.6556178	1.592772601	.005112901	.019159796	.139093003	10.135103
1	1	6	1.783314	1.221998333	.5279767	.02635176	.02370053	40.95984	2.04434	14.89241	-.1895499	1.610681818	.5150866	.034587179	.065508914	7.546902
1	2	5	.3569179	1.101841597	.2248592	.07238294	.04738411	15.90346	5.119377	13.72854	-1.7502977	3.132411177	.2107202	.015349064	.068260772	6.418686
1	1	5	.465757	.252078885	0	.1181229	.03300154	0	.5361557	-3.613149	-2.7422251	2.135375879	-.2203145	.060975754	2.384570878	6.043964
1	2	4	.1847516	.519191355	.1837902	0	.0268151	9.18895	0	17.16503	-1.7990786	1.641922726	.163789	.009542016	.051917989	5.198436
0	1	4	-.2020906	-.52887538	.981417	.2078978	3.966565	1.809422	.3832976	.2896552	.61788618	-.1416957	.4390244	1.515679443	1.544379	6.758095
0	1	5	.05167868	.270469181	.884514	.0824398	10.58234	1.154658	.1076182	.05859341	.80892951	.008613113	.1184742	2.021972227	2.28597	8.64629
0	1	1	.06853147	.145833333	.8811189	.1734266	1.827381	3.165829	.6231156	.7019544	.53006993	.01538462	.6027972	.858741259	.9746032	6.572283
0	2	1	-.3100137	.530516432	.5240055	0	-1.950704	.3530499	0	-.8423586	1.58436214	-.3415638	-.9602195	1.139917695	2.175393	6.591674
0	1	5	.1064257	.197026022	.7911647	.1325301	5.334572	2.277457	.3815029	.154007	.45983936	.0502008	.4437751	2.881526104	3.642132	6.2106
0	3	5	-.1235704	-1.139908257	.4950273	0	3.573394	1.083832	0	.09884467	.89159622	-.1767777	.03828941	.387369468	.7825213	8.299535
0	1	1	.1194434	.258577406	.6072671	.02783147	5.40251	1.300497	.05960265	.05622677	.53807499	.1090066	.140317	2.495554697	4.109484	7.858254
0	1	3	.1156004	.755963303	.4938272	.05022447	15.58349	.5831677	.0593108	-.148122	.84708193	.130752	-.3529742	2.382996633	4.825568	8.178639
0	1	1	.06529625	.219512195	.7539299	.02055623	3.713415	1.190453	.03245823	.1091954	.7025393	.1378476	.1206167	1.104594921	1.465116	8.104099
0	2	0	-.05219207	.892857143	.776618	.01461378	-14.85714	.9185185	.01728395	-.07932692	1.05845511	-.04175365	-.06889353	.868475992	1.11828	6.171701
0	1	5	-.2535023	-2.620689655	.6344229	.01267512	17.27586	1.710432	.03417266	.1576846	.90326885	-.2595063	.263509	1.671114076	2.634069	7.312553
0	1	4	.140038	5.507462687	.8808349	.02732448	93.1791	.9116261	.02827965	-.03604037	.97457306	.05464896	-.08538899	2.369259962	2.689789	7.876638
0	1	5	-.004115226	-.024096386	.81893	.002057613	18.22892	1.023136	.002570694	.005948447	.82921811	.02537723	.01851852	3.113168724	3.801508	7.284821
0	1	5	.03441258	.492063492	.893987	.005920444	22.38624	1.147198	.007597341	.07326873	.93006475	.01258094	.1147086	1.565587419	1.751242	8.59508
0	1	5	-.5768194	2.161616162	.6954178	.04851752	-10.66667	1.277228	.08910891	.0530303	1.26684636	-.6469003	.1509434	2.846361186	4.093023	5.916202
0	2	5	.07282913	.203125	.6442577	.03361345	2.664063	2.169811	.1132075	.3636364	.64145658	.06162465	.3473389	.955182073	1.482609	5.877736
0	1	7	.07240506	.5	.6073418	.006835443	6.241259	1.026969	.01155822	.01764706	.85518987	.03265823	.01594937	.903797468	1.48812	8.281471
0	1	1	.07646751	.272276204	.7053359	.01352842	3.156915	1.039534	.01993839	.0302554	.71915462	.04453347	.0268246	.886605121	1.256997	9.754001
0	1	3	-.1103377	-.24513173	.8321732	.00154679	2.436999	1.513361	.00281294	.2573443	.54988399	-.08172209	.2822892	1.096932199	1.318154	8.263333
0	1	2	-.259867	-10.280701754	.7649667	.04079823	47.52632	.8210376	.04378867	-.1387966	.97472284	-.1858093	-.1667406	1.201330377	1.570435	7.720905
0	1	5	-.1238245	-.225714286	.3740857	.000522466	1.854286	.9986053	.0013947	-.0005136107	.45141066	-.131139	-.000522466	1.017241379	2.719274	7.556951
0	1	1	-.1105853	-.419827013	.9374343	.05415352	3.73187	1.566784	.09050967	.3449813	.73659306	-.1559762	.3391167	.983000351	1.048607	8.649274
0	1	2	-.1296764	-.157557167	.5090659	.1696121	1.460959	3.00542	1.001355	.2824967	.17695662	-.05416571	.3396833	1.202432867	2.362038	8.379539
0	1	2	.06388889	.201754386	.8388889	.06388889	8.280702	2.172662	.1654676	.1726695	.68333333	.08611111	.4527778	2.622222222	3.125828	5.886104
0	1	5	.06853751	.300236407	.9913654	.03669725	9.36643	1.284615	.04755245	.1027259	.77172153	.02590394	.2196438	2.138154344	2.156777	7.524561
0	1	4	.04155313	2.731343284	.9797911	.01180745	52.95522	.9969963	.01201479	-.003664036	.98478656	.005222525	-.002951862	.805631244	.822248	8.390268
0	2	2	.006065858	2.153846154	.7528163	.05155979	195.1538	1.007246	.06898551	.009854158	.99718371	-.005199307	.005415945	.549610052	.7300719	8.437284
0	2	4	.03691496	.430769231	.9472643	.007251154	20.06923	1.047376	.008017493	.02491376	.91430455	.02702703	.04284773	1.719841793	1.815588	7.32449
0	1	1	.07593857	.575679172	.8868601	.09300341	11.4903	1.123676	.1178378	.06439991	.86808874	.03276451	.09761092	1.515699659	1.709063	8.675905
0	2	4	-.04530201	-.658536585	.9278523	.04530201	40.12195	.9963964	.04864865	-.001215805	.93120805	-.04530201	-.003355705	2.760067114	2.974684	6.390241
0	2	1	.06649616	.288888889	.7851662	.04859335	4.316667	1.314775	.08137045	.1891892	.76982097	.01790281	.1879795	.993606138	1.265472	6.661855
0	2	5	.1188119	-18	.1320132	.00990099	-285.5	.5263158	.03947368	-.06304729	1.00660066	.1221122	-.1188119	1.884488449	14.275	5.713733
0	2	1	.1642512	1.03030303	.7487923	0	18.9697	.9064327	0	-.02555911	.84057971	.04830918	-.07729469	3.024154589	4.03871	5.332719
0	2	1	.07047279	1.533980583	.8786798	.05263158	31.96117	1.062567	.06364617	.03523694	.95405888	.03166815	.05173952	1.468331847	1.671066	7.715124
0	1	4	.07467532	1.769230769	.7857143	0	52.30769	.820339	0	-.07794118	.95779221	0	-.1720779	2.207792208	2.809917	5.7301
0	2	1	.1116173	.49	.9476082	.06833713	7.85	1.256798	.09063444	.1082803	.77220957	.02277904	.1936219	1.788154897	1.887019	6.084499
0	1	5	-.2347203	1.62173315	.6458292	.1407525	-14.63549	.5818834	.1268161	-.2190789	1.14473422	-.2371093	-.4640653	2.118256022	3.279901	8.521783
0	2	5	.05555556	1.714285714	.1574074	.00462963	53.92857	.4722222	.01388889	-.1006623	.96759259	.09722222	-.1759259	1.747685185	11.10294	6.068426
0	1	1	-.5205562	1.665377176	.8107618	.04232164	-3.84913	.6538274	.03412969	-.3567839	1.31257557	-.5247884	-.4292624	1.203143894	1.483967	7.410952
0	1	5	.06389776	.158730159	.8210863	.009584665	4.444444	1.367021	.01595745	.1232143	.59744409	.03833866	.2204473	1.78913738	2.178988	5.746203
0	2	2	.1001821	2	.704918	.06466302	46	.8835616	.08105023	-.04031621	.94990893	.05009107	-.09289617	2.304189435	3.268734	7.001246
0	1	2	-.1766963	-1.158569667	.484918	.01139612	5.780025	.6420817	.01508964	-.3066388	.84748759	-.2079886	-.2703099	.8815255	1.817886	10.188215
0	1	3	-.03858162	.171456888	.2279215	.04884032	-3.61447	.4836725	.1036441	-.29915	1.2250223	-.03635147	-.2433095	.813336307	3.568493	8.408271
0	1	4	-.0001742616	-.052631579	.9363945	.002439662	66.18421	.9681982	.002522523	-.1403579	.99668903	-.00775464	-.03075717	.21913392	.2340188	9.3481
0	1	5	.02871266	.224322104	.8321414	.04122844	17.44371	1.081022	.05355923	.02793349	.87200252	.01914178	.06236853	2.232751367	2.68314	9.159889
0	2	5	-.05100464	-.244444444	.8763524	.1468315	20.56296	1.106341	.1853659	.01963256	.79134467	-.01159196	.08423493	4.29057187	4.895944	7.165493
0	2	3	.01520756	.044258373	.5425401	.01150843	.8050239	10.15385	.2153846	1.768202	.65639129	.0004110152	.4891081	.276613235	.5098485	7.79688
