"PROVINCIA" "POBLACION" "URBAN" "VEGROW" "BIRTH" "FECUND" "DEATH" "VEGROWR" "DOMMIG" "FORMIG" "MIGBAL" "MIGRATE" "X2539POP" "X2539ADU" "HOUSEPR" "ACTIRATE" "UNEMPR" "CHILDEP" "SOCWELF" "RESTLEV" "TOURLEV" "OVERNPR" "RDBPC"
"31" "Malaga" 1302240 81.8 3064 10.4 38.6 8 2.4 31114 13229 17609 13.77 0.251651687585 0.369161749335 1022 51.7 13.6 24.2 4 3673 6772 5.856824243563 81.789973819451
"32" "Mallorca" 878627 60.7 1430 10.5 39.4 8.8 1.7 39947 5950 17077 20.19 0.264763226399 0.373108239112 1456 60.2 6.7 22.2 9 2880 15349 11.201866256362 121.904392514302
"33" "Murcia" 1190378 75.4 3407 11.4 43.4 8.4 3 22806 20605 21306 18.54 0.261900428006 0.390686226886 657 54.4 11.2 26 6 2977 1353 1.726685279582 85.649180645787
"34" "Navarra" 556263 51.8 115 9.4 37.3 9.2 0.2 16421 1711 2826 5.2 0.251091612708 0.340708299461 1167 54.6 5.1 19.5 10 1375 788 0.619603772834 122.24376999903
"35" "Ourense" 344623 31.5 -2786 5.3 24.3 13.4 -8.1 8677 1993 948 2.75 0.196385834077 0.251329133549 727 48.7 8.5 16.9 1 747 241 0.484293933027 92.669446329875
"36" "Palencia" 177345 45.2 -809 6.8 28.4 11.4 -4.5 3744 380 -335 -1.88 0.218860361886 0.291285805998 755 46.9 9.5 18.8 4 401 166 0.248792574478 100.659361970329
"37" "Pontevedra" 916176 46 -744 8.1 30.5 8.9 -0.8 16346 4482 2575 2.82 0.24007285128 0.334013775097 776 53.1 13.6 19.4 4 2013 1156 0.920133111723 84.068651216911
"38" "Salamanca" 350209 54 -1411 7 29.3 11.1 -4 8688 291 -927 -2.65 0.223492443773 0.29724425357 1055 52.8 13.9 18.7 7 964 558 0.616331681971 90.982255405799
"39" "Santa Cruz de Tenerife" 856808 51.7 2673 10.5 37.3 7.2 3.3 25497 8627 11104 13.56 0.272119147101 0.391308532482 1064 56.6 11.2 21.4 6 1939 7521 6.082785637829 90.865897411035
"40" "Segovia" 147028 36.9 -464 8 35 11.2 -3.2 3386 620 389 2.65 0.229542161496 0.307434209333 858 51.4 9.5 20.4 6 350 228 0.422629997381 125.831474837584
